日期      时间      模块                函数                描述
08-11-09  09:52:05  VideoPhone          Write At            AT^DVTABLE=2,2,1
08-11-09  09:52:05  VideoPhone          Rcv At              ^DUSIMU: 1
08-11-09  09:52:05  VideoPhone          Rcv At              ^DPROFI: 0
08-11-09  09:52:05  VideoPhone          Rcv At              +CREG: 2
08-11-09  09:52:05  VideoPhone          Rcv At              ^DSQU: 0
08-11-09  09:52:05  VideoPhone          Rcv At              ^DCINFO: 0,0,1,0
08-11-09  09:52:05  VideoPhone          Rcv At              ^DSQU: 83
08-11-09  09:52:05  VideoPhone          Rcv At              +CREG: 1
08-11-09  09:52:05  VideoPhone          Rcv At              +CIEV: 2,4
08-11-09  09:52:05  VideoPhone          Rcv At              +CIEV: 2,4
08-11-09  09:52:05  VideoPhone          Rcv At              ^DSMNI: "SM",3,40,"SM",3,40,"SM",3,40
08-11-09  09:52:05  VideoPhone          Rcv At              ^DPBNI: "SM",0,200,"AP",0,0,"FD",2,10,"BD",0,0,"ON",1,2
08-11-09  09:52:05  VideoPhone          Rcv At              +CIEV: 8,0
08-11-09  09:52:05  VideoPhone          Rcv At              OK
08-11-09  09:52:05  VideoPhone          Write At            AT^DVTTYPE=3
08-11-09  09:52:05  VideoPhone          Rcv At              OK
08-11-09  09:52:05  VideoPhone          Write At            AT^DVTCHL=1
08-11-09  09:52:05  VideoPhone          Rcv At              OK
08-11-09  09:52:11  VideoPhone          Write At            AT^DVTDIAL=13401001867,,0
08-11-09  09:52:11  VideoPhone          Rcv At              ^DSCI: 1,0,2,1,0,"13401001867",129,1,,127,"",255
08-11-09  09:52:11  VideoPhone          Rcv At              ^DCPI: 0,0,0,1
08-11-09  09:52:13  VideoPhone          Rcv At              ^DCPI: 0,3,0,1
08-11-09  09:52:14  VideoPhone          Rcv At              ^DCPI: 0,4,0,1
08-11-09  09:52:15  VideoPhone          Rcv At              ^DCPI: 0,5,0,1
08-11-09  09:52:20  VideoPhone          Rcv At              ^DCPI: 0,2,0,1
08-11-09  09:52:20  VideoPhone          Rcv At              ^DSCI: 1,0,3,1,0,"13401001867",129,1,,128,"",255
08-11-09  09:52:20  VideoPhone          Rcv At              ^DCPI: 0,5,0,1
08-11-09  09:52:21  VideoPhone          Rcv At              +COLP: "",0,"",0
08-11-09  09:52:21  VideoPhone          Rcv At              ^DSCI: 1,0,0,1,0,"13401001867",129,1,,128,"",0
08-11-09  09:52:21  VideoPhone          Rcv At              ^DCPI: 0,6,0,1
08-11-09  09:52:21  VideoPhone          Rcv At              OK
08-11-09  09:52:22  VideoPhone          Rcv At              ^DVTDCI: "000001B008000001B50900000100000001200086C4003E82C0580120"
08-11-09  09:52:22  VideoPhone          Rcv At              ^DVTDCI: "000001B008000001B50900000100000001200086C4003E82C0580120"
08-11-09  09:52:22  VideoPhone          Rcv At              ^DVTDCI: "000001B008000001B50900000100000001200086C4003E82C0580120"
08-11-09  09:52:22  VideoPhone          Rcv At              ^DVTDCI: "000001B008000001B50900000100000001200086C4003E82C0580120"
08-11-09  09:52:22  VideoPhone          Rcv At              ^DVTDCI: "000001B008000001B50900000100000001200086C4003E82C0580120"
